Campus,Building,Floor,Length,Width,Height,Unit
UofA - North Campus,CompScie,1st Floor,160,156,10,FEET
UofA - North Campus,CompScie,2nd Floor,160,156,10,FEET
UofA - North Campus,CompScie,3rd,160,156,10,FEET
UofA - North Campus,CompScie,B1,190,130,10,FEET
UofA - North Campus,CAB,1st Floor,305,190,16,FEET
UofA - North Campus,CAB,2nd Floor,190,120,10,FEET
UofA - North Campus,CAB,3rd Floor,190,120,10,FEET
UofA - North Campus,CAB,4th Floor,190,120,10,FEET
UofA - North Campus,CAB,5th Floor,190,120,10,FEET
UofA - North Campus,CAB,6th Floor,190,120,10,FEET
UofA - North Campus,CAB,B1,225,192,16,FEET
